Symbol,Industry,ROE (%),ROCE (%),FII Q-3,FII Q-2,FII Q-1,FII Curr,DII Q-3,DII Q-2,DII Q-1,DII Curr,Category,Combined Change (%),Market Cap (Cr),52W High,Current Price,% From 52W High
COALINDIA,Coal,97.4,98.0,8.16,7.96,8.22,8.38,22.66,22.8,22.53,22.76,FII,0.39,285396.0,491.0,463.0,5.7
CGPOWER,Electrical Equipment,21.9,29.2,12.69,13.02,12.02,12.03,14.22,16.26,17.52,18.01,DII,0.5,133562.0,800.0,750.0,6.25
